Index,카테고리,발행일,Key,이메일 조회,이메일 클릭,웹 조회,오픈율,클릭률,다회오픈율
T1,The Trail,2025-10-24,"아무도 가지 않는 길, 하사미(波佐見) 개척기 (3/3)",9,4,297,81.82,36.36,44.44
P1,Pilgrimage,2025-10-29,당신과 다른 트럼프의 어린시절 (1/4),11,3,77,50,13.64,63.64
T2,The Trail,2025-10-31,시베리아 횡단 열차? 아니! 만주 종단열차 탄 이야기 (1/3),10,2,168,43.48,8.7,70
T3,The Trail,2025-11-03,시베리아 횡단 열차? 아니! 만주 종단열차 탄 이야기 (2/3),10,3,106,40,12,60
T4,The Trail,2025-11-07,시베리아 횡단 열차? 아니! 만주 종단열차 탄 이야기 (3/3),9,3,115,34.62,11.54,77.78
T5,The Trail,2025-11-10,[특집] 코타키나발루 혼자 가봤니?,12,4,318,40,13.33,50
T6,The Trail,2025-11-14,히말라야 오디세이 (1/6),18,5,230,52.94,14.71,61.11
T7,The Trail,2025-11-17,히말라야 오디세이 (2/6),18,2,145,52.94,5.88,55.56
T8,The Trail,2025-11-21,히말라야 오디세이 (3/6),20,4,132,57.14,11.43,65
T9,The Trail,2025-11-24,히말라야 오디세이 (4/6),20,3,182,55.56,8.33,65
T10,The Trail,2025-11-28,히말라야 오디세이 (5/6),19,1,165,43.18,2.27,63.16
T11,The Trail,2025-12-01,20년지기 친구가 이 세상을 떠났다.,29,3,176,51.79,5.36,48.28
P2,Pilgrimage,2025-12-03,찰리멍거의 5가지 동업 체크리스트 (with 워렌 버핏),24,2,180,42.11,3.51,58.33
P3,Pilgrimage,2025-12-05,[특집] 세계 2위 중국의 실리콘 밸리는 어딜까?,24,2,99,40.68,3.39,45.83
T12,The Trail,2025-12-05,히말라야 오디세이 (6/6),25,8,311,42.37,13.56,60
T13,The Trail,2025-12-08,"세비야를 보지 못한 자, 기적을 보지 못한 것이다 (1/2)",22,4,134,36.07,6.56,63.64
P4,Pilgrimage,2025-12-10,"나도 실패자다, 20대 호암 이병철 (Samsung)",36,4,94,52.17,5.8,52.78
P5,Pilgrimage,2025-12-12,삼성도 처음엔 국수 팔았다. - 호암 이병철(Samsung),31,2,81,44.29,2.86,58.06
T14,The Trail,2025-12-13,"세비야를 보지 못한 자, 기적을 보지 못한 것이다 (2/2)",23,5,148,32.86,7.14,60.87
T15,The Trail,2025-12-15,"두려움의 도시 런던, 다시 그곳에 불시착하다",21,3,215,28.77,4.11,61.9
P6,Pilgrimage,2025-12-17,삼성은 나무 닭 경영으로 세워졌다! - 호암 이병철 (Samsung),31,2,106,41.33,2.67,48.39
P7,Pilgrimage,2025-12-19,지금 내 삶에 동기부여와 끈기가 필요하다면? - 아산 정주영(현대),25,2,66,33.33,2.67,44
T16,The Trail,2025-12-19,쥐구멍에도 볕들 날은 있는가?,30,3,101,40,4,46.67
T17,The Trail,2025-12-22,비밀의 문 너머로,20,2,80,26.67,2.67,60
P8,Pilgrimage,2025-12-24,정주영 회장이 뚫어버린 불가능 5가지 일화 (Feat.거북선),26,3,93,34.67,4,50
P9,Pilgrimage,2025-12-26,당신은 가치를 만들어 내는 방법을 아는가? - 정주영 회장(Hyundai),27,5,70,35.06,6.49,33.33
T18,The Trail,2025-12-26,"낯선 혐오, 그리고 더 낯선 다정함",27,1,71,35.06,1.3,37.04
T19,The Trail,2025-12-29,소용돌이 속으로,22,4,89,28.21,5.13,54.55
P10,Pilgrimage,2025-12-31,거짓말로 회사 창업하고 60조원 벌기 (feat. 나이키),32,4,60,41.03,5.13,34.38
P11,Pilgrimage,2026-01-07,전생에 나라를 구한 나이키 창업자 (feat. 인복),27,4,47,32.53,4.82,37.04
P12,Pilgrimage,2026-01-09,당신은 올바른 방향으로 달리고 있는가?,33,3,47,39.76,3.61,45.45
P13,Pilgrimage,2026-01-14,"멀쩡한 대기업 때려치우고 내 사업하기, 포드의 초기 실패 5가지 (feat. 에디슨)",32,1,39,38.1,1.19,40.63
P14,Pilgrimage,2026-01-16,포드에게서 배우는 비지니스의 지혜 5가지 (feat. 병목),27,1,44,32.14,1.19,44.44
P15,Pilgrimage,2026-01-21,우리가 결국 만들어야 하는 일의 최종 단계 (Ford),28,4,17,32.94,4.71,46.43
P16,Pilgrimage,2026-01-23,"제프 베이조스, 실패할 수 없는 성공의 법칙 (Amazon)",28,2,25,32.56,2.33,39.29
T20,The Trail,2026-01-27,(에필로그) 타이타닉의 선장들,30,7,19,33.33,7.78,37.5
